"hostid";"host";"name"
"18288";"GAS2-5LB2CP1";"GAS2-5LB2CP1"
"18285";"GAS2-5LB2PA1";"GAS2-5LB2PA1"
"18286";"GAS2-5LB2PP1";"GAS2-5LB2PP1"
"18295";"GAS2-5LB3CD1";"GAS2-5LB3CD1"
"18296";"GAS2-5LB3CP1";"GAS2-5LB3CP1"
"18293";"GAS2-5LB3PA1";"GAS2-5LB3PA1"
"18294";"GAS2-5LB3PP1";"GAS2-5LB3PP1"
"18291";"GAS2-5LB4CD1";"GAS2-5LB4CD1"
"18292";"GAS2-5LB4CP1";"GAS2-5LB4CP1"
"18289";"GAS2-5LB4PA1";"GAS2-5LB4PA1"
"18290";"GAS2-5LB4PP1";"GAS2-5LB4PP1"
"18298";"GAS2-5SACP1";"GAS2-5SACP1"
"14608";"GAS2RDP_230";"GAS2RDP_230"
"15985";"GAS2RDP_525";"GAS2RDP_525"
"17039";"gas2-sw1";"gas2-sw1"
"17040";"gas2-sw2";"gas2-sw2"
"16780";"gas2-tmo";"gas2-tmo"
"14251";"GAS2-UCS1";"GAS2-UCS1"
"16258";"GAS2-UCS1-alta";"GAS2-UCS1-alta"
"14252";"GAS2-UCS2";"GAS2-UCS2"
"16259";"GAS2-UCS2-baixa";"GAS2-UCS2-baixa"
"18303";"GER-1B1PP1";"GER-1B1PP1"
"18321";"GER-1L1PP1";"GER-1L1PP1"
"18322";"GER-1L1PR1";"GER-1L1PR1"
"18309";"GER-1SACP1";"GER-1SACP1"
"18310";"GER-1SACP2";"GER-1SACP2"
"18323";"GER-1T1PP1";"GER-1T1PP1"
"18324";"GER-1T1PR1";"GER-1T1PR1"
"18325";"GER-1T2PP1";"GER-1T2PP1"
"18326";"GER-1T2PR1";"GER-1T2PR1"
"18304";"GER-1UABP1";"GER-1UABP1"
"18305";"GER-CP1";"GER-CP1"
"18311";"GER-CP1_";"GER-CP1_"
"18314";"GER-CP1__";"GER-CP1__"
"18318";"GER-CP1___";"GER-CP1___"
"18327";"GER-CP1____";"GER-CP1____"
"18331";"GER-CP1_____";"GER-CP1_____"
"18329";"GER-CP1______";"GER-CP1______"
"18306";"GER-CP2";"GER-CP2"
"18312";"GER-CP2_";"GER-CP2_"
"18315";"GER-CP2__";"GER-CP2__"
"18319";"GER-CP2___";"GER-CP2___"
"18328";"GER-CP2____";"GER-CP2____"
"18330";"GER-CP2_____";"GER-CP2_____"
"18332";"GER-CP2______";"GER-CP2______"
"18307";"GER-CP3";"GER-CP3"
"18313";"GER-CP3_";"GER-CP3_"
"18316";"GER-CP3__";"GER-CP3__"
"18320";"GER-CP3___";"GER-CP3___"
"18308";"GER-CP4";"GER-CP4"
"18317";"GER-CP4_";"GER-CP4_"
"16739";"GPE-DM706KE-remota";"GPE-DM706KE-remota"
"16484";"GPE-DM880-01";"GPE-DM880-01"
"16485";"GPE-DM880-02";"GPE-DM880-02"
"14609";"GR2RDP_230_1";"GR2RDP_230_1"
"14435";"GRA_HL1";"GRA_HL1"
"14436";"GRA_HL2";"GRA_HL2"
"13874";"GRA_HOTLINES";"GRA_HOTLINES"
"15583";"GRA_HOTLINES_eth1";"GRA_HOTLINES_eth1"
"15584";"GRA_HOTLINES_eth2";"GRA_HOTLINES_eth2"
"13829";"GRA_PRI";"GRA_PRI"
"13943";"GRA_SEC";"GRA_SEC"
"18348";"GRA-1LAPA1";"GRA-1LAPA1"
"18347";"GRA-1LAPP1";"GRA-1LAPP1"
"20038";"GRA2_PRI";"GRA2_PRI"
"20039";"GRA2_SEC";"GRA2_SEC"
"18359";"GRA2-2BC4SY1";"GRA2-2BC4SY1"
"18363";"GRA2-2BC5SY1";"GRA2-2BC5SY1"
"18360";"GRA2-2BCC1";"GRA2-2BCC1"
"18361";"GRA2-2C4PA1";"GRA2-2C4PA1"
"18362";"GRA2-2C4PP1";"GRA2-2C4PP1"
"18364";"GRA2-2C5PA1";"GRA2-2C5PA1"
"18365";"GRA2-2C5PP1";"GRA2-2C5PP1"
"18366";"GRA2-87A";"GRA2-87A"
"18367";"GRA2-87P";"GRA2-87P"
"20037";"gra2-rgr-20.238.125";"gra2-rgr-20.238.125"
"14433";"GRA3_HL1";"GRA3_HL1"
"14434";"GRA3_HL2";"GRA3_HL2"
"13873";"GRA3_HOTLINES";"GRA3_HOTLINES"
"15581";"GRA3_HOTLINES_eth1";"GRA3_HOTLINES_eth1"
"15582";"GRA3_HOTLINES_eth2";"GRA3_HOTLINES_eth2"
"16904";"GRA3_PRI";"GRA3_PRI"
