"Nome","Hostname","IP","Status","Grupo"
"coc-ons-19.16.126","coc-ons-19.16.126","172.19.16.126","Desabilitado",""
"SW3-RGR-ONS-SAR","SW3-RGR-ONS-SAR","172.19.255.3","Desabilitado",""
"SW3-RGR-ONS-SAL","SW3-RGR-ONS-SAL","172.19.255.4","Desabilitado",""
"ons-sal-19.255.8","ons-sal-19.255.8","172.19.255.8","Desabilitado",""
"NPE2RDP_230_2","NPE2RDP_230_2","172.20.138.99","Desabilitado",""
"cch-fw-scada","cch-fw-scada","172.20.20.15","Desabilitado",""
"liv2-ro-20.22.254","liv2-ro-20.22.254","172.20.22.254","Desabilitado",""
"liv2-ro-20.23.254","liv2-ro-20.23.254","172.20.23.254","Desabilitado",""
"gui-rgr-35.252","gui-rgr-35.252","10.240.35.252","Desabilitado",""
"SW-RGR-SED94B","SW-RGR-SED94B","172.19.0.116","Desabilitado",""
"servidorrgr","servidorrgr","172.19.0.254","Desabilitado",""
"uhsd-rgr-vsat-19.32.121","uhsd-rgr-vsat-19.32.121","172.19.32.121","Desabilitado",""
"vmt-rgr-20.182.125","vmt-rgr-20.182.125","172.20.182.125","Desabilitado",""
"guo-rgr-20.197.125","guo-rgr-20.197.125","172.20.197.125","Desabilitado",""
"uhpj-rgr-vsat-20.6.251","uhpj-rgr-vsat-20.6.251","172.20.6.251","Desabilitado",""
"cno-rgr-24.2","cno-rgr-24.2","172.19.24.2","Desabilitado",""
"cgr-rgr-32.222","cgr-rgr-32.222","172.19.32.222","Desabilitado",""
"dou-rgr-32.46","dou-rgr-32.46","172.19.32.46","Desabilitado",""
"lon-rgr-32.209","lon-rgr-32.209","172.19.32.209","Desabilitado",""
"tpr2-rgr-97.189","tpr2-rgr-97.189","172.16.97.189","Desabilitado",""
"gua3-rgr-20.191.125","gua3-rgr-20.191.125","172.20.191.125","Desabilitado",""
"scr1-rgr-66.254","scr1-rgr-66.254","10.240.66.254","Desabilitado",""
"cta-rgr-vsat-20.160.125","cta-rgr-vsat-20.160.125","172.20.160.125","Desabilitado",""
"ons-sw-sal-edd","ons-sw-sal-edd","172.19.161.12","Desabilitado",""
"ons-sar-19.255.7","ons-sar-19.255.7","172.19.255.7","Desabilitado",""
"sed-ons-96.184","sed-ons-96.184","172.16.96.184","Desabilitado",""
