"Nome";"IP";"Grupo"
"SW3-TDM-UTUR";"10.6.106.1";"SW-Extreme"
"SW3-TDM-LIV2";"10.6.69.1";"SW-Extreme"
"SW3-TDM-BGE";"10.6.108.1";"SW-Extreme"
"SW3-TDM-PME-Esul";"10.6.98.1";"SW-Extreme"
"SW3-TDM-PLT";"10.6.103.1";"SW-Extreme"
"SW3-TDM-QUI";"10.6.51.1";"SW-Extreme"
"mim2-rgr-20.218.125";"172.20.218.125";"Industrial"
"MIM2_PRI";"172.30.129.1";"Discovered hosts"
"MIM2_SEC";"172.31.129.1";"Discovered hosts"
"RTD-SEDE-LAR";"10.6.1.6";"Corporativa"
"SW3-POA-PTT-RNP";"10.6.27.2";"SW-Extreme"
"SW3-TDM-PNO";"10.6.53.2";"SW-Extreme"
"SW3-IJU2";"10.6.59.10";"SW-Extreme"
"SW3-BLU-Comunicacao";"10.6.65.10";"SW-Extreme"
"SW3-DRO-2";"10.6.30.20";"SW-Extreme"
"SW3-SED-TEL-PRI";"10.6.1.11";"SW-Extreme"
"SW3-SED-TEL-SEC";"10.6.1.13";"SW-Extreme"
"TEL-GTW-VHF_PIN2_ControlOne";"10.9.105.40";"VHF"
"TEL-GTW-VHF_PGR_ControlOne";"10.9.114.40";"VHF"
"TEL-GTW-VHF_PFU_ControlOne";"10.9.77.40";"VHF"
"TEL-GTW-VHF_PAL_ControlOne";"10.9.43.40";"VHF"
"TEL-GTW-VHF_OSO2_ControlOne";"10.9.93.40";"VHF"
"TEL-GTW-VHF_NSR_ControlOne";"10.9.89.40";"VHF"
"TEL-GTW-VHF_NPE2_ControlOne";"10.2.81.40";"VHF"
"TEL-GTW-VHF_MRO2_ControlOne";"10.9.50.40";"VHF"
"TEL-GTW-VHF_MIS_ControlOne";"10.9.75.40";"VHF"
"TEL-GTW-VHF_MIM_ControlOne";"10.2.21.40";"VHF"
"TEL-GTW-VHF_MCL_ControlOne";"10.9.83.40";"VHF"
"TEL-GTW-VHF_MCH_ControlOne";"10.9.82.40";"VHF"
"TEL-GTW-VHF_LON_ControlOne";"10.9.32.40";"VHF"
"TEL-GTW-VHF_LNS_ControlOne";"10.9.117.40";"VHF"
"TEL-GTW-VHF_LGR_ControlOne";"10.9.80.40";"VHF"
"TEL-GTW-VHF_LAR_ControlOne";"10.9.40.40";"VHF"
"TEL-GTW-VHF_JOI_ControlOne";"10.9.34.40";"VHF"
"TEL-GTW-VHF_JNO_ControlOne";"10.9.31.40";"VHF"
"TEL-GTW-VHF_IVP_ControlOne";"10.9.37.40";"VHF"
